Index,Model,Features,Countantom-avg,Countantom-med,Countantom-stdev,Ganak-avg,Ganak-med,Ganak-stdev,Sharpsat-avg,Sharpsat-med,Sharpsat-stdev,C2d-avg,C2d-med,C2d-stdev,D4-avg,D4-med,D4-stdev,D4new-avg,D4new-med,D4new-stdev,Dsharp-avg,Dsharp-med,Dsharp-stdev
51,cnf/confidential/automotive06/automotive06_sw.dimacs,5571,0.652327978315298,0.665313427423826,0.03363293662091,0.048489308217541,0.049085938051576,0.002685522091528,0.047022430787329,0.047022430787329,0.002165845425237,6.59087280717678,6.65917757386342,0.652557520946018,0.0713601428736,0.070286856498569,0.002157295041321,0.071837150380015,0.072491213679314,0.002734456035163,0.361689790701494,0.359913109103218,0.030133641729964
52,cnf/KConfig/linux-2.6.33.3.dimacs,6467,300,300,0,300,300,0,300,300,0,1800,1800,0,1800,1800,0,1800,1800,0,1800,1800,0
53,cnf/Smarch/busybox-1.18.0.dimacs,6796,0.1865400490514,0.194192086491967,0.014705025601774,0.058907741911244,0.060613394511165,0.005894846776768,0.053321041013114,0.053321041013114,0.003237064746088,38.8479358043801,38.1384657402523,3.11393868448181,0.219802454933524,0.216216639382765,0.011456342515698,0.272841226831079,0.266660856083035,0.013420565063841,0.559602691195905,0.556859954027459,0.003242482837944
54,cnf/Smarch/2.6.28.6-icse11.dimacs,6888,300,300,0,300,300,0,300,300,0,1800,1800,0,1800,1800,0,1800,1800,0,1800,1800,0
55,cnf/confidential/automotive07/automotive07_sw.dimacs,8649,10.3443944625778,10.3550382123794,0.482877133465748,1.57805149720633,1.58967472697259,0.058869695814875,1.40672621040256,1.40672621040256,0.069500614762594,339.010055624647,259.167077301536,256.96027594307,5.82836091241799,5.83029560302384,0.019658686266293,2.23537540595978,2.23553453758359,0.015292831917726,12.593136897739,12.6722633363679,0.25780625093943
56,cnf/Smarch/uClinux-config.dimacs,11254,44.032550378833,44.3057473296649,2.01002710202488,0.192654422452906,0.189217988401652,0.018226383789076,0.17778637184063,0.17778637184063,0.015563705876468,59.5473452533968,59.6418054685928,5.37814149244026,0.362995276590809,0.358458527131006,0.01502893592223,0.709772089421749,0.70863011199981,0.012722889745047,1.61144522808492,1.60699533810839,0.022558787527543
57,cnf/Smarch/buildroot.dimacs,14910,300,300,0,300,300,0,300,300,0,1800,1800,0,1800,1800,0,1800,1800,0,1800,1800,0
58,cnf/automotive02/automotive2_4.dimacs,18616,4.43099532514112,4.43603127697133,0.19261942336055,0.616370439869352,0.625737216905691,0.038652039413472,0.493199897436425,0.493199897436425,0.027898557563525,1608.29680673919,1800,456.265185364803,23.6976351892669,23.7086544369813,0.088194242923174,110.075787286088,104.98698875308,13.2975500766243,6.9862432474643,6.96850509289652,0.097373630660361
59,cnf/Smarch/embtoolkit.dimacs,23516,102.842966022244,101.902272025938,5.12963584822932,12.7441237074265,12.8315608435369,0.371871028778797,9.30789150899276,9.30789150899276,0.500661007579747,1504.8056848493,1800,450.619953850868,14.4375954912696,14.3854431824293,0.26300608548683,24.9652168670297,24.9673856878653,0.062691748584533,88.6670943430998,88.4482723521069,0.649251891797696
60,cnf/Smarch/freetz.dimacs,31012,300,300,0,300,300,0,300,300,0,1800,1800,0,1800,1800,0.22854191232615,1800,1800,0,1800,1800,0
61,cnf/Smarch/2.6.32-2var.dimacs,60072,300,300,0,300,300,0,300,300,0,1800,1800,0,1800,1800,0,1800,1800,0,1800,1800,0
62,cnf/Smarch/2.6.33.3-2var.dimacs,62482,300,300,0,300,300,0,300,300,0,1800,1800,0,1800,1800,0,1800,1800,0,1800,1800,0
